ear_mean,ear_std,ear_min,ear_max,ear_median,ear_skew,ear_kurtosis,ear_trend,blink_mean,blink_std,blink_min,blink_max,blink_trend,gaze_mean,gaze_std,gaze_min,duration_minutes,duration_log,ear_blink_interaction,low_blink_indicator,low_ear_indicator,label
0.31494933,0.017647147,0.27802947,0.34916952,0.31642172,-0.28847268,-0.5122191,0.0009294571,20.421366,2.0129673,16.594357,25.112743,0.23831291,0.90904546,0.06272184,0.7775005,18.47745,7.011797,6.487399,0.0,0.0,0
0.18746635,0.020422606,0.15450384,0.24065037,0.18659978,0.7975606,0.2886971,-0.0002246572,2.3002002,1.6152292,0.0,5.6941886,0.18269418,0.41323152,0.09085721,0.20050031,101.00665,8.709696,0.43376628,1.0,1.0,3
0.33305725,0.023791846,0.29691848,0.39700466,0.3335917,0.5847796,0.17620856,-0.007779421,14.53322,1.9590355,9.632465,17.721363,0.009735961,0.7238416,0.091328695,0.57443583,18.133858,6.993044,4.7703,0.0,0.0,0
0.28196305,0.022336178,0.23943244,0.3312044,0.28259572,0.14148128,-0.32495353,0.000756393,9.74194,1.8172469,7.235622,13.264558,0.0035365508,0.76898026,0.081008375,0.60821617,44.286884,7.8854094,2.6543467,1.0,0.0,1
0.24404159,0.017834352,0.20550294,0.2965675,0.24361292,0.43073618,0.83562285,0.00977754,9.949226,1.8274626,6.483083,13.395171,0.46197686,0.5672672,0.090856135,0.3433029,68.715034,8.324555,2.382123,1.0,1.0,2
0.26942718,0.016615558,0.22904256,0.3008921,0.2700086,-0.42714483,-0.09844875,-0.008468765,14.138412,1.9628341,9.221878,18.041098,0.46863124,0.6592478,0.09275539,0.4169369,25.018852,7.31464,3.744212,0.0,0.0,1
0.1896375,0.022928985,0.15,0.2419131,0.18555497,0.370061,-0.55987954,-0.009644265,3.2013156,1.7188894,0.0,6.3857484,0.42812598,0.38567793,0.10055388,0.20873724,119.545555,8.878181,0.6303433,1.0,1.0,3
0.28194702,0.0187031,0.2385842,0.31283754,0.28457785,-0.4393122,-0.55761313,-0.0033032603,9.082305,1.3823174,5.9439535,12.266179,-0.37374952,0.5521338,0.08107024,0.39799675,54.88785,8.09994,2.1705627,1.0,0.0,2
0.20852359,0.021414805,0.1587717,0.26419386,0.20719138,0.26946273,0.2519529,-0.0005773406,5.7910037,1.8855817,2.276702,9.155737,-0.38400528,0.33282816,0.11302453,0.083584756,112.6009,8.818342,1.1867166,1.0,1.0,3
0.32685807,0.022598825,0.28873262,0.38410982,0.3260014,0.31265467,-0.10572323,0.00678205,22.790644,2.2229013,17.515488,26.581068,0.40821892,0.87823015,0.066886626,0.74111736,21.907185,7.1819196,7.525201,0.0,0.0,0
0.23589402,0.020510148,0.18710035,0.29002994,0.23355848,0.14255229,0.54804033,-0.00878903,6.2495003,1.6918092,2.7141817,10.049142,0.22500911,0.3403706,0.11088206,0.108486675,67.65047,8.308946,1.4818937,1.0,1.0,3
0.27081466,0.02209721,0.20750803,0.32016724,0.2676039,-0.40418807,0.68349165,0.007097209,12.033813,1.6732799,8.526848,15.764181,0.13153549,0.67047375,0.10974778,0.42222664,34.19726,7.6269774,3.2401962,0.0,0.0,1
0.28714803,0.026691176,0.22552717,0.34580684,0.28929153,-0.34376174,-0.076550536,-0.009489908,9.707615,2.3605175,3.3774407,13.798934,-0.32619247,0.7680852,0.107136495,0.49003607,24.01775,7.2738314,2.848136,1.0,0.0,1
0.26087534,0.017047526,0.22083071,0.2971426,0.26141426,-0.27921903,-0.10407021,0.003357264,12.059224,2.1365619,8.07682,16.969936,-0.37021905,0.77369714,0.089001976,0.55809706,32.098373,7.563669,3.0344703,0.0,0.0,1
0.20711675,0.015234284,0.167501,0.229434,0.2104652,-0.75362647,-0.13027976,0.009359907,4.354698,1.851887,0.0,8.165837,0.44959742,0.38029468,0.110160984,0.114377484,71.16298,8.359551,0.96731436,1.0,1.0,3
0.28179446,0.018689506,0.23853478,0.3204794,0.2790485,0.13242973,-0.14333874,-0.0054977112,5.7520447,1.9276724,1.5551566,10.026322,-0.034465365,0.5428265,0.07503187,0.35935366,40.090897,7.7859097,1.4913782,1.0,0.0,2
0.2149226,0.0148326615,0.17687576,0.2450846,0.21505758,-0.2863956,-0.00043692457,-0.0026938056,4.4229503,2.0466547,0.58165646,8.065943,-0.4799461,0.4294018,0.100757085,0.21619144,60.16754,8.191754,0.91981804,1.0,1.0,3
0.2997554,0.022056824,0.25998697,0.33781716,0.30460623,-0.24463615,-0.92693,0.0058659813,15.101657,2.236691,10.194333,20.169397,0.15881273,0.7681771,0.10471343,0.53928053,18.299206,7.0021124,4.3457494,0.0,0.0,0
0.26004446,0.022093179,0.21450965,0.3157134,0.2623932,0.029216114,-0.033324637,-0.0013920356,11.701081,1.9031506,7.4813356,16.556849,-0.24800317,0.7025172,0.12738861,0.334956,32.846733,7.5867043,3.2195797,0.0,0.0,1
0.31585854,0.02025547,0.27897757,0.35176352,0.31859377,-0.19415359,-0.9059176,0.002782814,15.551456,2.106973,9.930671,18.921598,-0.26438093,0.7873134,0.08905162,0.5912077,9.790252,6.377433,4.9914136,0.0,0.0,0
0.25990903,0.0204585,0.20197023,0.29709658,0.2622695,-0.58682996,0.3954166,-0.0067905267,6.520717,1.8526394,2.7152011,11.050077,0.13547455,0.5516992,0.09683502,0.234615,54.253963,8.088327,1.6143013,1.0,0.0,2
0.34639615,0.016358063,0.3143958,0.3833722,0.34762388,0.049491383,0.0041330834,0.004458981,22.511497,1.3684365,19.46835,25.726698,-0.46311697,0.78901756,0.09752187,0.5923168,5.0566564,5.7183404,7.965458,0.0,0.0,0
0.29354805,0.023205359,0.2327294,0.32970145,0.29649147,-0.7878362,0.6035149,-0.007289376,23.102158,2.2924485,18.14889,27.177492,-0.44885665,0.7958677,0.08368485,0.6673268,12.93012,6.6551924,6.884906,0.0,0.0,0
0.25779304,0.019619245,0.20795378,0.30752966,0.25837928,0.032532625,0.5094387,-0.0057371375,13.429215,1.5660816,10.864473,17.283298,0.35257682,0.6185731,0.10769604,0.36738673,29.892794,7.4925194,3.5254965,0.0,0.0,1
0.2561916,0.016935594,0.22119221,0.28913143,0.25592417,-0.12589313,-0.76286066,0.0064644422,5.1859617,2.6851192,0.0,10.371592,0.40922114,0.5460603,0.09081723,0.3211382,65.930626,8.2832,1.3959926,1.0,0.0,2
0.22901203,0.014435965,0.19996822,0.2699556,0.22984113,0.4536262,0.8167877,-0.0034204165,2.1407933,1.7913939,0.0,5.927698,0.38479576,0.58232784,0.10113619,0.33052635,90.13072,8.595791,0.5690289,1.0,1.0,3
0.20308934,0.019669551,0.15357445,0.24476798,0.2031313,-0.2593279,0.61965406,-0.004254082,3.2571104,1.5754476,0.0,7.0222135,-0.23109274,0.40172097,0.0859267,0.23157515,94.552376,8.643675,0.62803024,1.0,1.0,3
0.2875058,0.020257998,0.23861817,0.32096776,0.28523046,-0.43299654,-0.21946871,-0.0046352246,12.747838,1.851363,9.646288,16.837904,-0.37958837,0.73984474,0.081385106,0.60008633,41.466415,7.81963,3.4822922,0.0,0.0,1
0.29447278,0.022379696,0.23946558,0.33778307,0.29232293,-0.06870722,0.14986697,-0.003596698,21.067385,2.3489099,15.70874,25.790104,0.46987918,0.8335181,0.10831079,0.6103611,19.105946,7.045216,6.096172,0.0,0.0,0
0.3433234,0.020868465,0.29735044,0.39058176,0.34279418,-0.16965057,-0.20197092,0.0048826225,21.54205,1.9236754,18.005102,25.92498,0.36420077,0.8746489,0.08990155,0.71449435,23.14653,7.2369094,7.52638,0.0,0.0,0
0.34295955,0.022139333,0.29133257,0.38854977,0.34273466,-0.20589535,0.05198486,-0.0048593413,16.257122,1.7293456,12.9294,20.23273,0.3487788,0.74606484,0.09091563,0.56268036,9.29635,6.3257575,5.7980556,0.0,0.0,0
0.2260245,0.023454813,0.18967484,0.2896135,0.22769663,0.6726175,0.28701895,0.0053266133,8.697216,1.4238088,4.7534986,11.381034,-0.1819633,0.59361726,0.10244159,0.38026944,47.607513,7.957685,1.8637089,1.0,1.0,2
0.32356578,0.015868617,0.28974757,0.35039005,0.3225057,-0.13656406,-0.76407015,-0.0044369674,21.789234,1.6316246,17.532568,25.215828,0.32822785,0.8647206,0.07938922,0.6871139,11.174117,6.509435,6.9517293,0.0,0.0,0
0.24011767,0.023758737,0.19552249,0.29861468,0.23917122,0.43302894,0.06081284,-0.0039689634,6.4659476,1.9820298,3.0277367,10.774304,0.38125813,0.61514825,0.07903185,0.42665422,42.488186,7.8439627,1.5250375,1.0,1.0,2
0.22840224,0.01869712,0.18595292,0.27893218,0.2275196,0.7202218,1.2028786,0.00080785045,6.1066065,1.2902565,3.177665,8.755502,0.15447065,0.6367698,0.11891861,0.37953138,65.29104,8.273455,1.3211124,1.0,1.0,2
0.2856792,0.019733801,0.24522436,0.3349675,0.28475854,0.4948638,0.13687605,0.0009667267,12.388011,1.7852689,9.435856,17.182205,-0.16281253,0.6415994,0.08954928,0.4598392,43.469875,7.866796,3.6173003,0.0,0.0,1
0.29491282,0.023947813,0.2535646,0.3471903,0.2915844,0.2739778,-0.7822839,-0.004207025,13.48016,1.8179623,9.948987,17.616571,0.27962807,0.6986607,0.10027073,0.49472824,34.03038,7.622088,3.9261405,0.0,0.0,1
0.28196415,0.021713994,0.23087555,0.3212168,0.28540346,-0.31149298,-0.41570476,-0.00981344,20.610582,2.1907156,16.52367,24.576025,0.11112024,0.805215,0.09254473,0.5961835,27.458538,7.4076285,5.724061,0.0,0.0,0
0.24246834,0.01846771,0.202509,0.27254486,0.24325977,-0.19231026,-0.68624574,0.0038513474,5.388865,2.2798467,0.864448,9.743397,-0.46188858,0.5630476,0.09655184,0.37712988,48.82955,7.9830217,1.3230472,1.0,1.0,2
0.30692565,0.01837703,0.26797625,0.35557774,0.30781162,0.25437966,0.2029108,0.004248892,21.26439,2.351212,15.389277,26.425278,0.4039301,0.81654686,0.10441875,0.56699413,29.42031,7.4765964,6.629093,0.0,0.0,0
0.27730766,0.020382294,0.23632483,0.31672594,0.2744977,0.106624834,-0.571877,-0.0005851305,10.661264,2.1358714,5.39785,13.724242,-0.11393283,0.7135571,0.097271726,0.5379061,43.263344,7.8620353,3.094988,0.0,0.0,1
0.3427246,0.021843141,0.28912842,0.37808952,0.34042236,-0.57099444,-0.06981693,0.0056553963,16.732227,2.4013057,12.168524,22.033432,-0.36260632,0.7324446,0.08147053,0.5761501,17.457325,6.955058,5.7035513,0.0,0.0,0
0.22042675,0.018693935,0.18444583,0.25529072,0.2156568,0.18550533,-0.7492565,0.0010080978,5.616983,1.8299015,0.37214214,10.478883,0.070864715,0.4729904,0.0973164,0.2505195,107.51406,8.772121,1.2264475,1.0,1.0,3
0.24043542,0.022718253,0.19915777,0.28484818,0.24420458,-0.044626947,-0.69370145,0.009208911,8.387403,1.4026496,5.1049337,11.5543165,0.38726488,0.607666,0.085101865,0.44523412,45.94458,7.922143,2.127731,1.0,1.0,2
0.30859903,0.01751483,0.28233117,0.34049875,0.3076951,0.20941395,-1.0666343,-0.008617554,21.503738,1.794183,18.441307,25.561363,-0.14753939,0.8273144,0.07693004,0.6737639,9.795245,6.3779416,6.5010767,0.0,0.0,0
0.27257213,0.023177607,0.22504273,0.31422725,0.27675456,-0.3069872,-0.6148542,-0.00850971,13.878532,1.9018741,10.291003,17.878567,-0.12010606,0.66266173,0.10404847,0.4842113,37.899185,7.729714,3.6199615,0.0,0.0,1
0.27516812,0.020012638,0.22745858,0.31006676,0.27960482,-0.28573304,-0.60619813,-0.006421358,13.171671,1.8217887,9.956667,17.365635,0.2793892,0.78343636,0.103085645,0.47553656,31.135416,7.5332255,3.59412,0.0,0.0,1
0.2405807,0.020933494,0.19695012,0.28034315,0.23737837,-0.12391902,-0.6705716,0.004295886,3.7179866,1.871817,0.0,7.537096,-0.067453966,0.5814377,0.10366639,0.37469614,82.340416,8.505409,0.880437,1.0,1.0,3
0.2277022,0.017732704,0.1917401,0.25795013,0.2308256,-0.46733555,-0.69915533,-0.009747387,5.643191,1.5846652,2.836663,9.089664,0.4438546,0.40903333,0.091932885,0.24639352,73.004524,8.385095,1.3692242,1.0,1.0,3
0.27886283,0.01805962,0.25057277,0.33065885,0.27780694,0.6649856,0.43423527,0.005615916,9.165751,2.044025,6.2107825,13.610226,-0.4901075,0.62853456,0.07249711,0.50097543,38.9601,7.7573104,2.5309024,1.0,0.0,1
0.24361141,0.02174562,0.20344132,0.29196453,0.24045594,0.3301464,-0.3426832,0.00077780336,4.6153817,2.0914304,0.0,9.901184,-0.35537553,0.4317286,0.09569335,0.24191456,86.105484,8.550111,0.9890987,1.0,1.0,3
0.20783035,0.020224405,0.16524713,0.23328786,0.21374922,-0.57918733,-0.87976444,0.00827372,3.1159348,1.5844857,0.0,6.7002664,-0.02971181,0.33929366,0.1150445,0.007018536,111.358864,8.807252,0.5856359,1.0,1.0,3
0.22883606,0.021104435,0.18690015,0.264262,0.22743987,-0.3031488,-0.8731235,0.0026831753,3.9640565,1.6196059,0.0,7.425159,0.05103485,0.5202003,0.118642464,0.36915818,101.12519,8.710869,0.83427435,1.0,1.0,3
0.25250182,0.02022129,0.21161777,0.29016253,0.2536462,-0.2503958,-0.47119835,-0.008736644,7.1628327,2.4206216,2.1606603,11.889753,-0.13191496,0.59621024,0.08625715,0.43792215,63.307896,8.242618,1.6989075,1.0,1.0,2
0.2051224,0.020228479,0.15,0.24971576,0.204224,-0.32888424,0.75594527,-0.0014533263,4.4652567,2.0596766,0.77957475,9.312996,-0.19586918,0.45434538,0.07964288,0.3051325,79.08957,8.465137,0.9342223,1.0,1.0,3
0.337769,0.019359317,0.30496636,0.37340578,0.33798537,0.039681226,-0.7500146,0.005113414,21.09487,1.963535,17.287352,24.768293,0.06276865,0.8061609,0.10256606,0.56733596,26.380854,7.3676147,6.851987,0.0,0.0,0
0.32097667,0.025755664,0.269572,0.3722959,0.31773955,0.101020366,-0.81334466,-0.006930724,23.165041,1.9242707,18.333754,26.946188,-0.14931887,0.8568956,0.06695159,0.7245012,24.135809,7.2787313,7.3384523,0.0,0.0,0
0.33554548,0.018010374,0.29181305,0.37167788,0.3373027,-0.42325786,-0.22426732,0.0068310443,16.93593,1.7367067,13.761987,20.829947,0.16183837,0.8073667,0.11886713,0.5095033,24.94101,7.311526,5.9602504,0.0,0.0,0
0.2259952,0.020539792,0.18664418,0.26616472,0.22941905,0.05947973,-0.5723885,-0.0036844346,6.4854693,2.1520996,1.6096934,9.848765,0.38970673,0.58943003,0.08531868,0.41471666,55.946655,8.119041,1.3850701,1.0,1.0,2
0.2948778,0.019357048,0.24932663,0.3291521,0.2958268,-0.46486562,-0.2898471,-0.0070808604,8.844732,1.8823507,5.2821283,12.78557,0.29463565,0.74972695,0.107066214,0.5387328,33.637966,7.610495,2.7553182,1.0,0.0,1
0.29581943,0.0149731515,0.26885432,0.32318282,0.29318553,0.044408128,-1.0112616,-0.0076452116,11.804181,1.7503704,8.86023,15.311377,-0.14717962,0.6501439,0.08317109,0.50606805,44.787476,7.896645,3.522059,0.0,0.0,1
0.32459944,0.020034943,0.2915653,0.37140393,0.32167265,0.72020626,-0.05880122,-0.0015036133,20.814878,1.8557211,17.265276,25.732456,0.010109296,0.728294,0.08104089,0.54325294,28.54305,7.446342,6.6713443,0.0,0.0,0
0.3232687,0.018049771,0.2828858,0.35616302,0.321771,-0.14988343,-0.4125939,-0.006943675,21.408522,1.7930188,18.520279,26.296865,-0.2700695,0.89580005,0.08310698,0.69442284,18.451597,7.0103984,7.055859,0.0,0.0,0
0.2709535,0.017410181,0.23618482,0.31116623,0.27082324,0.001569284,0.06259045,0.007092009,5.3581347,2.4604447,0.0,10.059474,-0.23285307,0.56314635,0.086959064,0.38933218,59.619633,8.182609,1.4985515,1.0,0.0,2
0.25313082,0.0190174,0.22979426,0.3110378,0.25057307,1.1472957,1.1062831,-0.0034047265,7.9099345,1.8007356,4.778239,10.788649,0.0029738385,0.60509914,0.087077625,0.41535008,60.626472,8.199351,1.9096203,1.0,1.0,2
0.28938958,0.017846843,0.24772105,0.31557965,0.29023236,-0.55496234,-0.21620764,-0.007603458,13.889433,1.6223288,10.38309,17.198605,0.11225017,0.86635876,0.08891184,0.6371903,8.217491,6.202636,3.9736338,0.0,0.0,0
0.3510927,0.014311726,0.32132953,0.3734993,0.34845304,-0.20663181,-0.5998217,0.0022188008,23.063921,1.8043158,19.70103,25.93998,0.16906375,0.86610806,0.09180942,0.68226945,13.392305,6.6902685,7.907011,0.0,0.0,0
0.23801324,0.018135704,0.18531917,0.2719857,0.23833431,-0.62925273,0.9570891,-0.0036311378,5.970205,2.0473132,1.1540301,9.471461,-0.36974362,0.58468807,0.079098955,0.391219,43.428288,7.8658395,1.5405848,1.0,1.0,2
0.32942322,0.020537708,0.27763164,0.37096336,0.33314228,-0.23270898,-0.23859575,-0.0015828038,12.699631,1.976633,8.311803,17.59253,-0.14118291,0.8693815,0.082071275,0.7034861,8.053483,6.1825166,4.4904947,0.0,0.0,0
0.24900736,0.018564733,0.22021224,0.30625668,0.24591379,0.92192715,1.1250556,0.0023172135,6.5867653,1.8436975,0.6180001,9.3643465,-0.10983876,0.59024006,0.10657829,0.34251434,94.235954,8.640324,1.5942582,1.0,1.0,3
0.28786767,0.016861774,0.25914967,0.3218706,0.28894004,0.11565773,-0.7505217,-0.00440846,17.132856,2.1174495,11.853493,21.31934,-0.42970827,0.92771596,0.077320434,0.6951246,8.561467,6.243561,4.806405,0.0,0.0,0
0.29585624,0.018065704,0.255021,0.3288907,0.29485625,0.0316074,-0.6308159,0.0057364646,12.883387,1.8417916,7.587082,15.985819,-0.4389963,0.7684274,0.10481149,0.60613036,39.36429,7.767627,3.6570773,0.0,0.0,1
0.2157568,0.01947714,0.17450507,0.25782093,0.21456887,0.027831573,-0.07371135,0.0050459853,2.8119013,2.1100187,0.0,8.291356,-0.21178001,0.33573684,0.08996321,0.15901981,111.25844,8.80635,0.5564257,1.0,1.0,3
0.27406842,0.016029658,0.2497109,0.30855724,0.2724285,0.3043958,-0.8838782,0.008071883,6.372415,2.1086526,2.8043048,11.2348585,0.006088734,0.66865104,0.10337096,0.43851486,56.70496,8.1325,1.7292423,1.0,0.0,2
0.24556597,0.021871256,0.20050277,0.28597438,0.24411419,-0.055169486,-0.5091141,0.006154178,5.8707175,1.6848099,2.3445997,10.744801,-0.314565,0.3894522,0.112937875,0.18833514,82.91552,8.512368,1.3577222,1.0,1.0,3
0.27516007,0.020658694,0.22236302,0.31912827,0.27600294,-0.37254748,0.9033476,0.0016185611,9.335741,1.7784746,6.154079,12.779673,-0.12095681,0.7394141,0.10450687,0.5501031,25.503382,7.333809,2.7432795,0.0,0.0,1
0.35346654,0.018456811,0.31735042,0.38589126,0.35741258,-0.21505216,-0.860528,-0.0037615958,14.907269,2.6670806,9.533878,19.719845,0.42918757,0.876576,0.079734825,0.69350034,17.474604,6.9560466,5.151478,0.0,0.0,0
0.30397412,0.021106713,0.2474996,0.3448751,0.30521122,-0.8114132,0.82769895,0.006655421,17.41118,1.9513313,11.766002,21.599564,0.45001802,0.8476647,0.081449725,0.7113592,17.312218,6.946719,5.5212593,0.0,0.0,0
0.26769808,0.019899901,0.21504633,0.31377387,0.26913595,-0.32972696,0.6745314,-0.009852387,9.881647,2.2205324,4.1455026,13.531733,-0.16970465,0.8045076,0.08599527,0.64461315,42.938816,7.854509,2.6438396,1.0,0.0,1
0.2720165,0.021749629,0.21400231,0.31579277,0.2718067,-0.4959163,0.72051305,0.0037380534,6.6227775,2.2385707,2.5993783,11.660362,-0.4868205,0.5918529,0.10484623,0.32557985,61.087894,8.206931,1.7409785,1.0,0.0,2
0.27142963,0.024373457,0.2386048,0.33389246,0.26366463,1.0168725,0.35845158,-0.0053546033,8.437147,2.242712,3.270214,12.838016,-0.19708124,0.5242602,0.103892155,0.22783415,68.85629,8.326609,2.3451674,1.0,0.0,2
0.33270386,0.01875766,0.29395753,0.37614778,0.3301991,0.3066898,-0.08941814,-0.00021418088,22.803625,2.2287006,18.198015,27.110697,0.46818012,0.736017,0.091430455,0.535475,11.755129,6.560051,7.4829245,0.0,0.0,0
0.24312708,0.017860249,0.18951,0.27166918,0.24425681,-0.7608719,0.8582072,-0.00060304,9.239311,2.0253434,5.0116515,14.09982,0.2740402,0.541684,0.07658407,0.35883692,56.186367,8.123315,2.1739774,1.0,1.0,2
0.2265511,0.020896832,0.18071763,0.27462924,0.22394626,0.054685395,-0.4311239,-0.0070873844,6.2647877,2.1515856,2.3871834,10.679522,-0.111219615,0.64023215,0.09141271,0.39596877,62.531967,8.2302885,1.3022292,1.0,1.0,2
0.21969548,0.01779868,0.18942799,0.25741905,0.22294083,-0.05401227,-0.8733212,-0.008867136,4.6857567,1.8023696,1.0316329,7.52197,-0.370661,0.551475,0.10954891,0.34826362,106.92088,8.766589,1.0879904,1.0,1.0,3
0.26646096,0.018974163,0.23415889,0.3061887,0.26602563,0.37975192,-0.4659235,-0.00076392095,11.962187,1.7420232,8.387062,15.082117,-0.09786927,0.6660498,0.099742144,0.5104387,30.10878,7.499715,3.2702124,0.0,0.0,1
0.18367966,0.020200389,0.15,0.24705948,0.1863184,0.6032061,1.2824247,0.0039370786,4.9050875,1.8095179,1.6950784,8.96647,0.41706792,0.58565974,0.09830177,0.41297436,111.78558,8.811076,0.9581518,1.0,1.0,3
0.2425933,0.015916677,0.21284261,0.2747093,0.24129613,0.18805715,-0.51825917,-0.00057070673,9.565459,2.2640085,5.286355,14.714052,0.20562902,0.590655,0.11460151,0.31919628,65.181496,8.271776,2.3655388,1.0,1.0,2
0.21799567,0.019271046,0.16299675,0.27131745,0.2161364,0.055666495,1.8130311,-0.0012893077,5.0974774,1.816031,1.4204568,8.757278,0.42298383,0.29182756,0.09249601,0.10002019,91.50835,8.610957,1.2289824,1.0,1.0,3
0.28978753,0.017791465,0.23911603,0.32417306,0.29221898,-0.5411825,0.6448937,-0.006430224,13.735242,1.4683102,10.857647,16.907234,0.42374474,0.7171322,0.08591165,0.51833534,8.382995,6.222536,4.102348,0.0,0.0,0
0.29105598,0.018960955,0.25481012,0.34215197,0.2915436,0.25841734,0.27186406,0.008480212,12.375388,1.8200737,8.282248,16.608301,-0.1265717,0.6263604,0.10835013,0.4301891,27.97695,7.426321,3.4965796,0.0,0.0,1
0.20384827,0.01853451,0.1642387,0.2354851,0.20282541,-0.15233366,-0.8854606,0.00042727255,3.5142336,1.9711082,0.44842276,8.775865,0.32354325,0.4042996,0.09119687,0.11849711,85.4962,8.543012,0.64720005,1.0,1.0,3
0.28885517,0.018293649,0.25674742,0.3287122,0.29402372,-0.108595796,-0.79908156,-0.0062213596,20.283514,1.7282268,17.033266,24.13969,0.0136035895,0.926687,0.07492314,0.7196111,25.530989,7.33489,6.0270143,0.0,0.0,0
0.2780247,0.018885005,0.22814691,0.32768,0.28083602,-0.023296565,0.91601384,-0.0061948644,9.411407,1.9554143,4.225479,14.1657295,0.10654898,0.67508876,0.10850392,0.4451183,41.55878,7.8218546,2.7251203,1.0,0.0,1
0.2193395,0.018961046,0.1907401,0.26083437,0.22037005,0.43353555,-0.50136125,0.0050916886,2.8785622,1.5892197,0.0,5.8342047,0.20938784,0.4460771,0.10171154,0.21971923,103.95095,8.738424,0.4648769,1.0,1.0,3
